Site Name,County,Site No,Locality,Cluster,Zone,East,North,Landform,Water,Viewshed
Emmon's Lake,Waupaca,WP-0005,Wolf River,Chain of Lakes,16,325029,4909242,Terrace,Lake,Confluence
Hatten Park,Waupaca,WP-0275,Wolf River,Isolate,16,359688,4916012,Terrace,River,Marsh
Highway,Waupaca,WP-0193,Wolf River,Chain of Lakes,16,329881,4811831,Terrace,Lake,Lake
Sanders,Waupaca,WP-0026,Wolf River,Isolate,16,351318,4903777,Terrace,River,Spring
Waupaca River,Waupaca,WP-0276,Wolf River,Isolate,16,347150,4910043,Terrace,River,Confluence
White Lake,Waupaca,WP-0050,Wolf River,Isolate,16,345252,4913258,Terrace,Lake,Lake
Wood Mounds,Waupaca,WP-0047,Wolf River,Isolate,16,344461,4918672,Terrace,Lake,Lake
WP-0041,Waupaca,WP-0041,Wolf River,Isolate,16,352356,4912060,Terrace,Lake,Confluence
WP-0078,Waupaca,WP-0078,Wolf River,Isolate,16,353673,4916099,Terrace,River,Confluence
North Shore,Waushara,WS-0006,Central Wisc,Pleasant Lake,16,295651,4873560,Terrace,Lake,Lake
S. Booth III,Waushara,WS-0032,Central Wisc,Isolate,16,322128,4879557,Terrace,Lake,Lake
Second Lake,Waushara,WS-0235,Central Wisc,Isolate,16,303154,4897770,Terrace,Lake,Lake
Bear Mounds,Winnebago,WN-0525,Wolf River,Isolate,16,360271,4871926,Upland,Creek,Headwaters
Clark's Point,Winnebago,WN-0076,Wolf River,Isolate,16,363304,4889909,Hill Slope,Lake,Lake
Doty Island/Smith Park,Winnebago,WN-0030/796,Unaffiliated,Isolate,16,384584,4893909,Island,Lake,Confluence
George Overton,Winnebago,WN-0054,Wolf River,Isolate,16,369055,4883616,Terrace,Lake,Confluence
Krisbaker-Llewellyn,Winnebago,WN-0006,Wolf River,Isolate,16,357515,4867780,Hill Slope,Lake,Confluence
Oakwood,Winnebago,WN-0012,Wolf River,Isolate,16,371133,4877864,Terrace,Lake,Lake
Spread Eagle,Winnebago,WN-0063,Wolf River,Isolate,16,356397,4867633,Hill Slope,River,Valley
Tustin,Winnebago,WN-0092,Wolf River,Isolate,16,350036,4891226,Terrace,Lake,Lake
Willow Harbor,Winnebago,WN-0015,Wolf River,Isolate,16,380197,4866180,Terrace,Lake,Confluence
Airport Road,"Winnebago, IL",WO-0012,Rockford,Rockford,16,327333,4674484,Terrace,River,Floodplain
Beattie Park,"Winnebago, IL",WO-0011,Rockford,Rockford,16,327546,4682086,Terrace,River,Floodplain
Beltline,"Winnebago, IL",WO-,Rockford,Rockford,16,327405,4671815,Terrace,River,Floodplain
Carbon,"Winnebago, IL",WO-,Rockford,Rockford,16,324679,4672680,Terrace,River,Confluence
Harrison Road,"Winnebago, IL",WO-,Rockford,Rockford,16,326757,4677863,Terrace,River,Floodplain
Johns,"Winnebago, IL",WO-0003,Rockford,Rockford,16,325326,4674446,Terrace,River,Floodplain
Juncture,"Winnebago, IL",WO-,Beloit,Beloit,16,327015,4702893,Terrace,River,Floodplain
Kent Creek,"Winnebago, IL",WO-,Rockford,Rockford,16,326562,4680946,Terrace,River,Confluence
Kishwaukee Road,"Winnebago, IL",WO-,Rockford,Rockford,16,325077,4672907,Terrace,River,Floodplain
Overlook,"Winnebago, IL",WO-,Beloit,Beloit,16,330260,4701702,Terrace,River,Floodplain
River Ford,"Winnebago, IL",WO-,Beloit,Beloit,16,331306,4705492,Terrace,River,Confluence
Rockton,"Winnebago, IL",WO-,Beloit,Beloit,16,329253,4702650,Terrace,River,Confluence
Route 2,"Winnebago, IL",WO-,Rockford,Rockford,16,321294,4672094,Terrace,River,Floodplain
South Beloit,"Winnebago, IL",WO-,Beloit,Beloit,16,332534,4706110,Hill Slopes,River,Confluence
WN-0005,Winona,WN-0005,Trempealeau,Isolate,15,624997,4864024,Ridge,Creek,Divide
WN-0007,Winona,WN-0007,Trempealeau,Isolate,15,627050,4869053,Terrace,River,Confluence
WN-0010,Winona,WN-0010,Trempealeau,Isolate,15,605333,4878029,Terrace,Creek,Valley
Five Mile Creek,Wood,WO-0007,Central Wisc,Site Pair,16,273265,4913202,Terrace,River,Confluence
Nekoosa,Wood,WO-0014,Central Wisc,Site Pair,16,268938,4907513,Terrace,River,Floodplain
NEPCO I,Wood,WO-0055,Central Wisc,Site Pair,16,272492,4914944,Terrace,River,Floodplain
Ross,Wood,WO-0016,Central Wisc,Site Pair,16,270388,4805822,Terrace,River,Confluence
