Site Name,County,Site No,Locality,Cluster,Zone,East,North,Landform,Water,Viewshed
Garrisonville Bear,Sauk,SK-0062,Baraboo Range,Baraboo,16,286897,4818525,Toeslope,River,Valley
Glen Creek,Sauk,SK-0302,Baraboo Range,Baraboo,16,280555,4814267,Terrace,River,Valley
Glover,Sauk,SK-0297,Baraboo Range,Baraboo,16,278439,4815693,Terrace,River,Floodplain
Greenfield,Sauk,SK-0060,Baraboo Range,Baraboo,16,280940,4815444,Terrace,River,Floodplain
Greenfield Man Mound,Sauk,SK-0027,Baraboo Range,Baraboo,16,283982,4818307,Toeslope,Upland,Divide
Gross,Sauk,SK-0083,Baraboo Range,Merrimac,16,285040,4804847,Terrace,River,Floodplain
Hemlock,Sauk,SK-0592,Unaffiliated,La Valle,15,731434,4829506,Terrace,River,Valley
Hill,Sauk,SK-0116,Unaffiliated,Isolate,15,734962,4783382,Terrace,River,Floodplain
Honey Creek,Sauk,SK-0098,Baraboo Range,Honey Creek,16,270509,4794407,Terrace,River,Valley
Howlett,Sauk,SK-0022,Baraboo Range,Baraboo,16,276185,4814407,Terrace,River,Valley
Hoxie,Sauk,SK-0134,Unaffiliated,Spring Green,16,256460,4788300,Terrace,River,Confluence
Jackson Creek,Sauk,SK-0070,Baraboo Range,Baraboo,16,286656,4816895,Terrace,River,Confluence
Jantz,Sauk,SK-0301,Baraboo Range,Lower Dells,16,281597,4826316,Hill Slope,River,Floodplain
Johnson,Sauk,SK-0125,Baraboo Range,Kingston,16,274630,4803084,Toeslope,River,Valley
Jones,Sauk,SK-0112,Unaffiliated,Spring Green,15,741804,4786637,Terrace,River,Floodplain
Kingston,Sauk,SK-0124,Baraboo Range,Kingston,16,273633,4803554,Terrace,Creek,Valley
Kruger Creek,Sauk,SK-0086,Baraboo Range,Merrimac,16,282512,4804996,Terrace,River,Confluence
La Valle Man Mound,Sauk,SK-0080,Unaffiliated,La Valle,15,734837,4827863,Ridge,River,Floodplain
Langdon,Sauk,SK-0057,Baraboo Range,Baraboo,16,282335,4814756,Terrace,River,Floodplain
Lapham,Sauk,SK-0309,Baraboo Range,Merrimac,16,281931,4806354,Hill Slope,Lake,Valley
Leach Creek,Sauk,SK-0051,Baraboo Range,Isolate,16,283281,4821787,Terrace,River,Valley
Long Lizard,Sauk,SK-0058,Baraboo Range,Baraboo,16,282078,4815170,Terrace,River,Floodplain
Lower Dells,Sauk,SK-0040,Baraboo Range,Lower Dells,16,278800,4830475,Bluff Edge,River,Floodplain
Maple Grove,Sauk,SK-0298,Baraboo Range,Baraboo,16,279357,4813242,Terrace,Creek,Valley
May Be,Sauk,SK-0595,Unaffiliated,Spring Green,16,256567,4789033,Ridge Spur,River,Valley
McGann,Sauk,SK-0394,Baraboo Range,Baraboo,16,282187,4816675,Terrace,Creek,Floodplain
McGilvra,Sauk,SK-0065,Baraboo Range,Baraboo,16,280820,4818211,Hill Slope,Upland,Lake
Merry Mac,Sauk,SK-0305,Baraboo Range,Merrimac,16,287326,4705945,Terrace,River,Floodplain
Mink,Sauk,SK-0093,Baraboo Range,Merrimac,16,280945,4806793,Terrace,Lake,Lake
Mosley,Sauk,SK-0104,Baraboo Range,Honey Creek,16,270791,4792140,Terrace,River,Confluence
Mother and Cub,Sauk,SK-0089,Baraboo Range,Merrimac,16,284487,4804371,Terrace,River,Floodplain
Newport,Sauk,SK-0038,Baraboo Range,Lower Dells,16,276975,4831247,Terrace,River,Confluence
Norton,Sauk,SK-0596,Unaffiliated,Spring Green,15,741199,4786175,Terrace,River,Floodplain
Oak Hill,Sauk,SK-0081,Unaffiliated,La Valle,15,734846,4827365,Ridge Spur,River,Floodplain
Otter Creek,Sauk,SK-0312,Baraboo Range,Kingston,16,275662,4802569,Terrace,River,Valley
Paddock,Sauk,SK-0073,Unaffiliated,La Valle,15,735129,4832665,Terrace,River,Valley
Pass,Sauk,SK-0594,Unaffiliated,Spring Green,16,257380,4788781,Toe Slope,Creek,Valley
Patterson,Sauk,SK-0100,Baraboo Range,Honey Creek,16,271245,4793954,Toeslope,River,Valley
Pierce,Sauk,SK-0129,Unaffiliated,Spring Green,16,266058,4787257,Terrace,River,Confluence
Polson,Sauk,SK-0055,Baraboo Range,Lower Dells,16,282608,4826536,Hill Slope,River,Spring
Porter,Sauk,SK-0049,Baraboo Range,Isolate,16,285399,4824970,Terrace,River,Marsh
Potter,Sauk,SK-0015,Baraboo Range,Baraboo,16,278907,4815195,Terrace,River,Floodplain
Prairie Effigy,Sauk,SK-0120,Unaffiliated,Spring Green,15,743513,4788632,Terrace,River,Valley
Ragatz,Sauk,SK-0363,Baraboo Range,Isolate,16,269010,4797869,Terrace,River,Valley
Rainbow,Sauk,SK-0597,Unaffiliated,Spring Green,15,739754,4784539,Terrace,River,Confluence
River Bank,Sauk,SK-0087,Baraboo Range,Merrimac,16,284223,4804567,Terrace,River,Confluence
Sauk Prairie,Sauk,SK-0103,Baraboo Range,Honey Creek,16,273016,4793409,Terrace,River,Confluence
Saxer,Sauk,SK-0097,Baraboo Range,Honey Creek,16,270602,4794109,Ridge Spur,River,Valley
Searl's Creek,Sauk,SK-0085,Baraboo Range,Merrimac,16,283040,4804712,Terrace,River,Confluence
Siebacker,Sauk,SK-0071,Baraboo Range,Merrimac,16,281444,4804866,Terrace,River,Confluence
SK-0300,Sauk,SK-0300,Baraboo Range,Lower Dells,16,273351,4831675,Unknown,River,Unknown
SK-0305,Sauk,SK-0305,Baraboo Range,Merrimac,16,286510,4805819,Terrace,River,Floodplain
SK-0307,Sauk,SK-0307,Baraboo Range,Merrimac,16,285681,4805209,Terrace,River,Floodplain
SK-0308,Sauk,SK-0308,Baraboo Range,Merrimac,16,281050,4804329,Terrace,River,Confluence
SK-0310,Sauk,SK-0310,Baraboo Range,Honey Creek,16,274860,4793806,Terrace,Upland,Floodplain
SK-0311,Sauk,SK-0311,Baraboo Range,Kingston,16,276047,4803691,Terrace,River,Valley
SK-0313,Sauk,SK-0313,Baraboo Range,Merrimac,16,278951,4806877,Unknown,Creek,Valley
Skillet's Creek,Sauk,SK-0020,Baraboo Range,Baraboo,16,275157,4815056,Terrace,River,Valley
South Park,Sauk,SK-0107,Unaffiliated,Isolate,15,742326,4823086,Terrace,River,Floodplain
South Side,Sauk,SK-0012,Baraboo Range,Baraboo,16,278226,4815612,Hill Slope,River,Floodplain
Sprecher,Sauk,SK-0130,Unaffiliated,Isolate,16,264471,4795945,Terrace,River,Confluence
Spring Run,Sauk,SK-0067,Baraboo Range,Baraboo,16,282587,4815371,Terrace,River,Floodplain
Stage Road,Sauk,SK-0043,Baraboo Range,Lower Dells,16,279093,4827185,Hill Slope,River,Floodplain
Terminal Moraine,Sauk,SK-0024,Baraboo Range,Devil's Lake,16,278716,4811818,Hill Slope,Lake,Lake
Terminal Moraine 2,Sauk,SK-0024,Baraboo Range,Devil's Lake,16,278728,4811959,Ridge,Lake,Lake
Tinkham,Sauk,SK-0021,Baraboo Range,Baraboo,16,276582,4813969,Terrace,River,Valley
Train,Sauk,SK-0084,Baraboo Range,Merrimac,16,283884,4805278,Terrace,River,Confluence
Tyler,Sauk,SK-0011,Baraboo Range,Baraboo,16,277102,4815875,Terrace,River,Floodplain
Upper Mill Power,Sauk,SK-0029,Baraboo Range,Isolate,16,279175,4819653,Hill Slope,Upland,Valley
Vonburn,Sauk,SK-0096,Baraboo Range,Honey Creek,16,270079,4793886,Ridge Spur,River,Valley
Williams,Sauk,SK-0006,Baraboo Range,Baraboo,16,278539,4816068,Terrace,River,Floodplain
Wilson,Sauk,SK-0128,Unaffiliated,Spring Green,16,257003,4787730,Terrace,River,Confluence
Wisconsin River,Sauk,SK-0042,Baraboo Range,Lower Dells,16,278991,4828733,Terrace,River,Floodplain
Wyman,Sauk,SK-0046,Unaffiliated,Isolate,16,269974,4817295,Terrace,River,Floodplain
SY-0006,Sawyer,SY-0006,Isolate,Outlier,15,676991,5070194,Terrace,Lake,Confluence
Prior Lake,Scott,SC-0016,Isolate,Outlier,15,465216,4949932,Terrace,Lake,Divide
Koontz Eagle,Shawano,SW-0036,Isolate,Outlier,16,361772,4974588,Terrace,Lake,Lake
Black River #1,Sheboygan,SB-0172,Sheboygan,Black River,16,442599,4837181,Terrace,River,Floodplain
Gerber Pond,Sheboygan,SB-0014,Unaffiliated,Isolate,16,422854,4850417,Hill Slope,Lake,Spring
Henschell,Sheboygan,SB-0029,Niagara,Isolate,16,413386,4856091,Hill Slope,River,Marsh
Keller,Sheboygan,SB-0004,Niagara,Isolate,16,407588,4853093,Hill Slope,River,Marsh
Kletzien,Sheboygan,SB-0061,Sheboygan,Black River,16,442171,4838164,Terrace,Creek,Valley
Meggers,Sheboygan,SB-0059,Sheboygan,Black River,16,441309,4838950,Upland,Creek,Valley
Seeley Hill,Sheboygan,SB-0050,Sheboygan,Isolate,16,440142,4843363,Terrace,River,Spring
Sheboygan Falls,Sheboygan,SB-0054,Sheboygan,Isolate,16,435475,4841694,Bluff Edge,River,Floodplain
Pecatonica River,Stephenson,SH-0001,Unaffiliated,Outlier,16,302253,4689475,Hill Slopes,River,Spring
Britt-Decora,Trempealeau,TR-0002,Trempealeau,Decorah Prairie,15,635798,4880996,Terrace,River,Floodplain
C. Johnson,Trempealeau,TR-0232,Trempealeau,Galesville,15,631802,4887976,Terrace,River,Confluence
Cote #1,Trempealeau,TR-0210,Trempealeau,Decorah Prairie,15,633696,4879284,Terrace,River,Floodplain
Deeren Farms,Trempealeau,TR-0227,Trempealeau,Galesville,15,632552,4885336,Ridge Spur,River,Valley
Gale College,Trempealeau,TR-0018,Trempealeau,Galesville,15,631428,4881890,Terrace,River,Floodplain
Judge Gale,Trempealeau,TR-0358,Trempealeau,Galesville,15,634420,4885485,Terrace,River,Valley
LaBakken I,Trempealeau,TR-0120,Trempealeau,Galesville,15,632623,4885997,Terrace,River,Confluence
Lunde,Trempealeau,TR-0228,Trempealeau,Decorah Prairie,15,630360,4872089,Floodplain,River,Marsh
Marinuka,Trempealeau,TR-0224,Trempealeau,Galesville,15,631834,4882295,Terrace,River,Floodplain
McDonah,Trempealeau,TR-0009,Trempealeau,Decorah Prairie,15,630789,4871996,Floodplain,River,Marsh
Meunier,Trempealeau,TR-0008,Trempealeau,Decorah Prairie,15,633061,4877140,Terrace,River,Floodplain
Mt. Trempealeau,Trempealeau,TR-0033,Trempealeau,Site Pair,15,620629,4874967,Hill Slope,River,Confluence
Pederson,Trempealeau,TR-0095,Trempealeau,Galesville,15,629678,4881379,Terrace,River,Floodplain
Pine Creek Siding,Trempealeau,TR-0023,Trempealeau,Isolate,15,617164,4879993,Floodplain,River,Marsh
Stablo,Trempealeau,TR-0011,Trempealeau,Decorah Prairie,15,632146,4873539,Terrace,River,Floodplain
Tank Creek Bird,Trempealeau,TR-0389,Trempealeau,Decorah Prairie,15,361849,4873189,Floodplain,River,Confluence
TR-0005,Trempealeau,TR-0005,Trempealeau,Decorah Prairie,15,634356,4878846,Terrace,River,Floodplain
Trowbridge Farm,Trempealeau,TR-0028/66,Trempealeau,Site Pair,15,621575,4875454,Terrace,River,Floodplain
Turnbull/Cote #2,Trempealeau,TR-0006,Trempealeau,Decorah Prairie,15,634009,4879027,Terrace,River,Valley
Asbury,Vernon,VE-1289,Bad Axe,Red Mound,15,648361,4817901,Ridgeline,Upland,Headwaters
Bad Axe,Vernon,VE-0854,Bad Axe,Battle Island,15,644088,4820451,Terrace,River,Confluence
Bad Axe South,Vernon,VE-0856,Bad Axe,Battle Island,15,644470,4819533,Toeslope,River,Confluence
Battle Hollow South Terrace,Vernon,VE-1078,Bad Axe,Red Mound,15,644854,4812839,Terrace,River,Confluence
Baumgartner,Vernon,VE-0881,Bad Axe,South Bad Axe,15,653872,4820264,Terrace,River,Valley
